date,population,admission,release
2023-06-26,106140.91947834205,905.1815328701601,933.5792454413353
2023-06-27,106112.52176577089,905.1815328701601,933.5792454413353
2023-06-28,106084.12405319969,905.1815328701601,933.5792454413353
2023-06-29,106055.72634062853,905.1815328701601,933.5792454413353
2023-06-30,106467.32862805735,912.3168809535995,1376.333810360653
2023-07-01,107173.0100767534,2082.0152590566986,1099.3338103606527
2023-07-02,107942.69152544947,1869.0152590566986,1144.3338103606527
2023-07-03,108364.37297414549,1566.0152590566986,2334.333810360653
2023-07-04,108028.05442284155,1998.0152590566986,898.3338103606528
2023-07-05,108743.73587153756,1612.1104971519367,2584.000926869874
2023-07-06,108323.44724975829,2193.404612782894,2493.8739068310897
2023-07-07,108156.68383806307,2330.6847248277118,2119.8195650943953
2023-07-08,108429.75375970111,2394.422820065807,1018.3528984277284
2023-07-09,109069.82368133921,1658.4228200658074,1048.3528984277284
2023-07-10,109691.39360297727,1480.9452341232995,2996.0478466937843
2023-07-11,109194.9286772772,2499.5829209936815,2686.9927838704284
2023-07-12,108993.55318833725,2485.617294930494,2679.9927838704284
2023-07-13,108816.6776993973,2503.117294930494,2975.9927838704284
2023-07-14,108589.80221045736,2749.1172949304946,2628.377298306124
2023-07-15,108639.72462177991,2678.299709628657,1204.3772983061247
2023-07-16,109274.64703310243,1839.2997096286576,1297.8772983061247
2023-07-17,109573.56944442495,1596.7997096286572,2726.7106316394575
2023-07-18,109155.32518908082,2308.4663762953237,2724.4606316394575
2023-07-19,108879.08093373672,2448.2163762953237,2825.793964972791
2023-07-20,108560.33667839257,2507.7163762953237,2737.1272983061244
2023-07-21,108323.2590897151,2500.049709628657,2531.9606316394575
2023-07-22,108402.51483437094,2608.683042961991,1104.460631639458
2023-07-23,109268.77057902684,1971.2163762953242,1317.460631639458
2023-07-24,109542.02632368272,1589.2163762953242,2912.1097544464756
2023-07-25,108962.40926132102,2332.509358751464,2767.0264211131416
2023-07-26,108939.53108784823,2683.7378761414666,2807.3446903859567
2023-07-27,108672.90283096451,2540.716433502215,2934.1780237192897
2023-07-28,108385.77457408074,2624.59382813823,2488.9280237192897
2023-07-29,108531.24114478323,2635.8945944217553,1187.42802371929
2023-07-30,109317.20771548568,1973.3945944217553,1187.42802371929
2023-07-31,109634.67428618815,1495.0168166439773,2787.850245941512
2023-08-01,109052.92974577949,2157.8410958263216,2962.114539450481
2023-08-02,108938.964731378,2707.032544272576,2781.875062019264
2023-08-03,108904.1142071817,2665.8601799182443,2963.2436164214782
2023-08-04,108853.34424739859,2912.4736566383363,2656.7769497548115
2023-08-05,108928.89650983766,2832.0625455272257,1231.5102830881451
2023-08-06,109797.44877227672,2100.062545527225,1257.5102830881451
2023-08-07,110273.5010347158,1720.9216991310166,3228.451434364486
2023-08-08,109633.15154927202,2587.7338170525586,2866.91678821064
2023-08-09,109519.9644638282,2745.750059000941,2978.9266028235074
2023-08-10,109210.74593527282,2669.708074268117,3034.9266028235074
2023-08-11,109017.52740671742,2841.708074268117,2791.4266028235074
2023-08-12,109115.80887816208,2889.708074268117,1342.4266028235077
2023-08-13,109811.09034960666,2037.708074268117,1278.4266028235077
2023-08-14,110269.37182105126,1736.708074268117,3239.426602823507
2023-08-15,109563.15329249586,2533.208074268117,3103.4266028235074
2023-08-16,109248.9347639405,2788.708074268117,3088.7123171092226
2023-08-17,108996.35909252794,2836.1366456966884,2928.462317109222
2023-08-18,108896.78342111541,2828.8866456966884,2906.712317109222
2023-08-19,109020.95774970285,3032.3866456966884,1312.5456504425554
2023-08-20,109825.36541162369,2117.253312363355,1375.8456504425553
2023-08-21,110161.61922739063,1711.102788468645,3279.842798836796
2023-08-22,109535.97312621408,2655.5300309935615,3102.92613217013
2023-08-23,109116.57702503749,2683.5300309935615,2953.92613217013
2023-08-24,108916.18092386093,2752.196697660228,2745.119669585096
2023-08-25,108965.98482268436,2846.3300309935616,2798.77613217013
2023-08-26,109139.78872150778,2972.5800309935616,1238.7761321701303
2023-08-27,109967.09262033123,2064.080030993562,1315.7761321701303
2023-08-28,110424.39651915466,1773.0800309935619,3363.7761321701296
2023-08-29,109720.20041797809,2659.5800309935616,2979.77613217013
2023-08-30,109526.00431680151,2785.0800309935616,2822.454703598701
2023-08-31,109408.12964419638,2707.758602422133,3002.0509124349837
2023-09-01,109299.03413483982,2893.93653515388,2801.0320445104558
2023-09-02,109322.93862548324,2824.2698684872134,1257.782044510456
2023-09-03,110113.34311612665,2048.936535153881,1372.5320445104562
2023-09-04,110624.74760677008,1883.9365351538809,1253.532044510456
2023-09-05,111158.15209741353,1786.9365351538809,3469.632044510455
2023-09-06,110376.85658805692,2687.3365351538805,3314.132044510455
2023-09-07,109899.06107870035,2836.3365351538805,3038.4244188028297
2023-09-08,109579.212788791,2719.7427955601406,2690.757752136163
2023-09-09,109685.03116554831,2796.5761288934746,1198.2577521361636
2023-09-10,110508.84954230564,2022.0761288934746,1337.2577521361636
2023-09-11,110866.00125239625,1694.409462226808,3128.0699035991584
2023-09-12,110279.05168308358,2541.1203342864746,3216.069903599158
2023-09-13,110027.1021137709,2912.416782707068,2974.8314545065355
2023-09-14,109646.07895551379,2601.3082962494236,2905.998121173202
2023-09-15,109457.16690836778,2719.3082962494245,2658.001092058526
2023-09-16,109582.00575248737,2784.7811126487104,1220.9422685291145
2023-09-17,110372.34459660697,2010.614445982045,1313.4422685291145
2023-09-18,110861.43344072657,1704.4362800431804,3254.876766345708
2023-09-19,110081.09806116836,2475.4163867874786,3508.3708139647556
2023-09-20,109428.76268161013,2948.4163867874786,3096.764586858528
2023-09-21,109219.52986615445,2887.615104736196,3057.347920191862
2023-09-22,108927.81020859352,2763.632270646965,2655.336898147774
2023-09-23,109097.13263520092,2824.6593247551814,1250.4480092588851
2023-09-24,109839.54395069723,1992.3593247551826,1376.6146759255519
2023-09-25,110156.95526619353,1694.8593247551826,3160.298009258885
2023-09-26,109512.36658168981,2540.465214479493,2966.8136107626437
2023-09-27,109244.12971422872,2697.910076634881,2980.4802774293107
2023-09-28,109055.89284676762,2771.702851644637,3065.944260490833
2023-09-29,109048.56735542894,3022.6769740530945,2970.060642595647
2023-09-30,109108.78646972487,3024.480906316861,1324.1258724807053
2023-10-01,109885.20817022769,2101.0475729835275,1387.6258724807053
2023-10-02,110323.12987073051,1825.5475729835275,3330.7872667396387
2023-10-03,109674.15467609567,2681.8120721047926,3260.0374463803573
2023-10-04,109546.19244553267,3132.0752158173673,3307.0374463803573
2023-10-05,109243.23021496969,2991.1070785624656,3313.985975792122
2023-10-06,108931.28269028904,3002.0384511114853,2947.385975792122
2023-10-07,109004.1351656084,3021.7384511114856,1263.385975792122
2023-10-08,109741.9876409278,2001.2384511114856,1347.3859757921223
2023-10-09,110081.34011624714,1686.7384511114856,2495.2609757921223
2023-10-10,109975.44259156649,2311.9932130162474,3222.322844478991
2023-10-11,109605.5495857588,2852.8187275601827,3167.192685748832
2023-10-12,109084.8565799511,2646.499679941135,3041.792685748832
2023-10-13,108733.39690747675,2690.3330132744686,2831.792685748832
2023-10-14,108816.93723500236,2915.333013274468,1222.2926857488321
2023-10-15,109691.477562528,2096.833013274469,1261.292685748832
2023-10-16,110033.68455672031,1599.5226684468826,3171.3701470181973
2023-10-17,109428.88330503556,2495.9038009938167,3024.722527970578
2023-10-18,109126.01538668413,2721.854609619153,3084.722527970578
2023-10-19,108816.1474683327,2773.4134331485648,3077.046057382343
2023-10-20,108407.08673952377,2666.818661906735,2803.3793907156764
2023-10-21,108607.19267738149,3003.4853285734016,1269.0222478585338
2023-10-22,109385.46528190588,2048.1519952400686,1301.8793907156764
2023-10-23,109866.73788643026,1782.170863164597,3457.0437616723157
2023-10-24,109055.58653007128,2655.840591841806,2949.956233915099
2023-10-25,108946.76850704558,2841.4507108894254,3045.491948200813
2023-10-26,108720.45048401991,2819.1739251751396,3073.991948200813
2023-10-27,108708.63246099425,3062.1739251751396,2793.491948200813
2023-10-28,108839.48110463526,2921.8763061275204,1285.9919482008129
2023-10-29,109620.32974827623,2066.8405918418066,1347.991948200813
2023-10-30,109931.84505858389,1660.3405918418064,3240.3252815341466
2023-10-31,109161.19370222489,2469.6739251751396,2821.343138677004
2023-11-01,108831.77448872304,2492.6739251751396,3165.093138677004
2023-11-02,108304.85527522115,2638.173925175139,3012.615865949731
2023-11-03,108116.87924353748,2824.6398342660486,2869.615865949731
2023-11-04,108237.23654518712,2989.2231675993817,1303.7825326163972
2023-11-05,109149.9271801701,2218.973167599382,1423.8250858078868
2023-11-06,109495.11781515309,1770.9731675993821,3596.5290114896366
